rodadas,n,k,criterio,p,analitico,simulado,diferenca
1,10,1,k=1,0.7,0.999994,1.0,6e-06
1,10,1,k=1,0.85,1.0,1.0,0.0
1,10,1,k=1,0.95,1.0,1.0,0.0
1,10,1,k=1,0.99,1.0,1.0,0.0
1,10,5,k=n/2,0.7,0.952651,1.0,0.047349
1,10,5,k=n/2,0.85,0.998617,1.0,0.001383
1,10,5,k=n/2,0.95,0.999997,1.0,3e-06
1,10,5,k=n/2,0.99,1.0,1.0,0.0
1,10,10,k=n,0.7,0.028248,0.0,0.028248
1,10,10,k=n,0.85,0.196874,0.0,0.196874
1,10,10,k=n,0.95,0.598737,0.0,0.598737
1,10,10,k=n,0.99,0.904382,1.0,0.095618
1,50,1,k=1,0.7,1.0,1.0,0.0
1,50,1,k=1,0.85,1.0,1.0,0.0
1,50,1,k=1,0.95,1.0,1.0,0.0
1,50,1,k=1,0.99,1.0,1.0,0.0
1,50,25,k=n/2,0.7,0.999067,1.0,0.000933
1,50,25,k=n/2,0.85,1.0,1.0,0.0
1,50,25,k=n/2,0.95,1.0,1.0,0.0
1,50,25,k=n/2,0.99,1.0,1.0,0.0
1,50,50,k=n,0.7,0.0,0.0,0.0
1,50,50,k=n,0.85,0.000296,0.0,0.000296
1,50,50,k=n,0.95,0.076945,0.0,0.076945
1,50,50,k=n,0.99,0.605006,0.0,0.605006
1,100,1,k=1,0.7,1.0,1.0,0.0
1,100,1,k=1,0.85,1.0,1.0,0.0
1,100,1,k=1,0.95,1.0,1.0,0.0
1,100,1,k=1,0.99,1.0,1.0,0.0
1,100,50,k=n/2,0.7,0.999991,1.0,9e-06
1,100,50,k=n/2,0.85,1.0,1.0,0.0
1,100,50,k=n/2,0.95,1.0,1.0,0.0
1,100,50,k=n/2,0.99,1.0,1.0,0.0
1,100,100,k=n,0.7,0.0,0.0,0.0
1,100,100,k=n,0.85,0.0,0.0,0.0
1,100,100,k=n,0.95,0.005921,0.0,0.005921
1,100,100,k=n,0.99,0.366032,0.0,0.366032
100,10,1,k=1,0.7,0.999994,1.0,6e-06
100,10,1,k=1,0.85,1.0,1.0,0.0
100,10,1,k=1,0.95,1.0,1.0,0.0
100,10,1,k=1,0.99,1.0,1.0,0.0
100,10,5,k=n/2,0.7,0.952651,0.98,0.027349
100,10,5,k=n/2,0.85,0.998617,1.0,0.001383
100,10,5,k=n/2,0.95,0.999997,1.0,3e-06
100,10,5,k=n/2,0.99,1.0,1.0,0.0
100,10,10,k=n,0.7,0.028248,0.0,0.028248
100,10,10,k=n,0.85,0.196874,0.23,0.033126
100,10,10,k=n,0.95,0.598737,0.66,0.061263
100,10,10,k=n,0.99,0.904382,0.83,0.074382
100,50,1,k=1,0.7,1.0,1.0,0.0
100,50,1,k=1,0.85,1.0,1.0,0.0
100,50,1,k=1,0.95,1.0,1.0,0.0
100,50,1,k=1,0.99,1.0,1.0,0.0
100,50,25,k=n/2,0.7,0.999067,1.0,0.000933
100,50,25,k=n/2,0.85,1.0,1.0,0.0
100,50,25,k=n/2,0.95,1.0,1.0,0.0
100,50,25,k=n/2,0.99,1.0,1.0,0.0
100,50,50,k=n,0.7,0.0,0.0,0.0
100,50,50,k=n,0.85,0.000296,0.0,0.000296
100,50,50,k=n,0.95,0.076945,0.04,0.036945
100,50,50,k=n,0.99,0.605006,0.64,0.034994
100,100,1,k=1,0.7,1.0,1.0,0.0
100,100,1,k=1,0.85,1.0,1.0,0.0
100,100,1,k=1,0.95,1.0,1.0,0.0
100,100,1,k=1,0.99,1.0,1.0,0.0
100,100,50,k=n/2,0.7,0.999991,1.0,9e-06
100,100,50,k=n/2,0.85,1.0,1.0,0.0
100,100,50,k=n/2,0.95,1.0,1.0,0.0
100,100,50,k=n/2,0.99,1.0,1.0,0.0
100,100,100,k=n,0.7,0.0,0.0,0.0
100,100,100,k=n,0.85,0.0,0.0,0.0
100,100,100,k=n,0.95,0.005921,0.0,0.005921
100,100,100,k=n,0.99,0.366032,0.33,0.036032
100000,10,1,k=1,0.7,0.999994,1.0,6e-06
100000,10,1,k=1,0.85,1.0,1.0,0.0
100000,10,1,k=1,0.95,1.0,1.0,0.0
100000,10,1,k=1,0.99,1.0,1.0,0.0
100000,10,5,k=n/2,0.7,0.952651,0.95289,0.000239
100000,10,5,k=n/2,0.85,0.998617,0.99895,0.000333
100000,10,5,k=n/2,0.95,0.999997,0.99999,7e-06
100000,10,5,k=n/2,0.99,1.0,1.0,0.0
100000,10,10,k=n,0.7,0.028248,0.02834,9.2e-05
100000,10,10,k=n,0.85,0.196874,0.19803,0.001156
100000,10,10,k=n,0.95,0.598737,0.59945,0.000713
100000,10,10,k=n,0.99,0.904382,0.90272,0.001662
100000,50,1,k=1,0.7,1.0,1.0,0.0
100000,50,1,k=1,0.85,1.0,1.0,0.0
100000,50,1,k=1,0.95,1.0,1.0,0.0
100000,50,1,k=1,0.99,1.0,1.0,0.0
100000,50,25,k=n/2,0.7,0.999067,0.99898,8.7e-05
100000,50,25,k=n/2,0.85,1.0,1.0,0.0
100000,50,25,k=n/2,0.95,1.0,1.0,0.0
100000,50,25,k=n/2,0.99,1.0,1.0,0.0
100000,50,50,k=n,0.7,0.0,0.0,0.0
100000,50,50,k=n,0.85,0.000296,0.00033,3.4e-05
100000,50,50,k=n,0.95,0.076945,0.07604,0.000905
100000,50,50,k=n,0.99,0.605006,0.60618,0.001174
100000,100,1,k=1,0.7,1.0,1.0,0.0
100000,100,1,k=1,0.85,1.0,1.0,0.0
100000,100,1,k=1,0.95,1.0,1.0,0.0
100000,100,1,k=1,0.99,1.0,1.0,0.0
100000,100,50,k=n/2,0.7,0.999991,1.0,9e-06
100000,100,50,k=n/2,0.85,1.0,1.0,0.0
100000,100,50,k=n/2,0.95,1.0,1.0,0.0
100000,100,50,k=n/2,0.99,1.0,1.0,0.0
100000,100,100,k=n,0.7,0.0,0.0,0.0
100000,100,100,k=n,0.85,0.0,0.0,0.0
100000,100,100,k=n,0.95,0.005921,0.00573,0.000191
100000,100,100,k=n,0.99,0.366032,0.36685,0.000818
